CA High School,Calculation1,City,County,Measure Names,Measure Values
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,Adm GPA,3.574444444
ALLIANCE HEALTH SERVICES ACDMY,ALLIANCE HEALTH SERVICES ACDMY054361,Los Angeles,Los Angeles,App GPA,2.972142857
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,Enrl GPA,3.612142857
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,Adm GPA,3.60875
ALLIANCE JUDY BURTON TECH ACAD,ALLIANCE JUDY BURTON TECH ACAD054088,Los Angeles,Los Angeles,App GPA,3.437727273
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,Adm GPA,3.672857143
ALLIANCE MEDIA ARTS/DESIGN HS,ALLIANCE MEDIA ARTS/DESIGN HS054346,Los Angeles,Los Angeles,App GPA,3.222727273
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,Enrl GPA,3.653157895
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,Adm GPA,3.2948
ALLIANCE OUCHI-O'DONOVAN 6-12,ALLIANCE OUCHI-O'DONOVAN 6-12051598,Los Angeles,Los Angeles,App GPA,2.925238095
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,Enrl GPA,3.8525
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,Adm GPA,3.823076923
ALLIANCE PATTI & PETER ACADEMY,ALLIANCE PATTI & PETER ACADEMY054218,Los Angeles,Los Angeles,App GPA,3.475205479
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,Adm GPA,3.8
ALLIANCE RENEE & MEYER LUSKIN,ALLIANCE RENEE & MEYER LUSKIN051663,Los Angeles,Los Angeles,App GPA,3.346315789
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,Enrl GPA,3.528571429
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,Adm GPA,3.532424242
ALLIANCE STERN MATH/SCI SCHOOL,ALLIANCE STERN MATH/SCI SCHOOL054163,Los Angeles,Los Angeles,App GPA,3.45047619
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,Enrl GPA,
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,Adm GPA,3.002
ALLIANCE TECH MATH SCI HIGH SC,ALLIANCE TECH MATH SCI HIGH SC054527,Los Angeles,Los Angeles,App GPA,2.551538462
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,Enrl GPA,3.384444444
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,Adm GPA,3.457272727
ALMA HEIGHTS CHRISTIAN ACADEMY,ALMA HEIGHTS CHRISTIAN ACADEMY052311,Pacifica,San Mateo,App GPA,3.551052632
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,Enrl GPA,4.025714286
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,Adm GPA,4.026
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,App GPA,3.992727273
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,Enrl GPA,3.880540541
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,Adm GPA,3.7915625
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,App GPA,3.566262626
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,Enrl GPA,
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,Adm GPA,
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,App GPA,3.68125
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,Enrl GPA,4.124
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,Adm GPA,3.828888889
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,App GPA,3.6675
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,Enrl GPA,4.082
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,Adm GPA,4.019090909
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,App GPA,3.842631579
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,Enrl GPA,3.86212963
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,Adm GPA,3.872604167
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,App GPA,3.711080139
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,Enrl GPA,3.766153846
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,Adm GPA,3.777647059
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,App GPA,3.576296296
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,Enrl GPA,3.973225806
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,Adm GPA,3.967916667
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,App GPA,3.823561644
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,Enrl GPA,3.878080808
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,Adm GPA,3.869934641
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,App GPA,3.719857143
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,Enrl GPA,4
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,Adm GPA,3.602857143
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,App GPA,3.413529412
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,Enrl GPA,
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,Adm GPA,3.692307692
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,App GPA,3.511578947
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,Enrl GPA,3.6752
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,Adm GPA,3.592133333
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,App GPA,3.388571429
