CA High School,Calculation1,City,County,Measure Names,Measure Values
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,Admits,10
ALSION MONTESSORI MIDDLE/HIGH,ALSION MONTESSORI MIDDLE/HIGH053989,Fremont,Alameda,Applicants,11
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,Enrollees,37
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,Admits,64
ALTA LOMA HIGH SCHOOL,ALTA LOMA HIGH SCHOOL050077,Alta Loma,San Bernardino,Applicants,99
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,Enrollees,3
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,Admits,4
ALTA VISTA ALTERNATIVE HS,ALTA VISTA ALTERNATIVE HS054462,Santa Barbara,Santa Barbara,Applicants,8
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,Enrollees,5
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,Admits,9
ALVERNO HIGH SCHOOL,ALVERNO HIGH SCHOOL053378,Sierra Madre,Los Angeles,Applicants,12
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,Enrollees,5
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,Admits,11
AMADOR HIGH SCHOOL,AMADOR HIGH SCHOOL053480,Sutter Creek,Amador,Applicants,19
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,Enrollees,108
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,Admits,192
AMADOR VALLEY HIGH SCHOOL,AMADOR VALLEY HIGH SCHOOL052495,Pleasanton,Alameda,Applicants,287
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,Enrollees,13
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,Admits,17
AMBASSADOR SCHL GLOBAL LDRSHP,AMBASSADOR SCHL GLOBAL LDRSHP051776,Los Angeles,Los Angeles,Applicants,27
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,Enrollees,31
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,Admits,48
AMERICAN CANYON HIGH SCHOOL,AMERICAN CANYON HIGH SCHOOL054406,American Canyon,Napa,Applicants,73
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,Enrollees,99
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,Admits,153
AMERICAN HIGH SCHOOL,AMERICAN HIGH SCHOOL050974,Fremont,Alameda,Applicants,210
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,Enrollees,12
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,Admits,21
AMERICAN INDIAN PUBLIC SCHOOL,AMERICAN INDIAN PUBLIC SCHOOL054176,Oakland,Alameda,Applicants,34
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,Enrollees,3
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,Admits,13
AMOS ALONZO STAGG HIGH SCHOOL,AMOS ALONZO STAGG HIGH SCHOOL053442,Stockton,San Joaquin,Applicants,19
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,Enrollees,50
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,Admits,75
ANAHEIM HIGH SCHOOL,ANAHEIM HIGH SCHOOL050090,Anaheim,Orange,Applicants,112
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,Enrollees,31
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,Admits,49
ANALY HIGH SCHOOL,ANALY HIGH SCHOOL053345,Sebastopol,Sonoma,Applicants,64
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,Enrollees,4
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,Admits,4
ANDERSON NEW TECHNOLOGY HS,ANDERSON NEW TECHNOLOGY HS050151,Anderson,Shasta,Applicants,5
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,Enrollees,5
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,Admits,7
ANDERSON UNION HIGH SCHOOL,ANDERSON UNION HIGH SCHOOL050095,Anderson,Shasta,Applicants,9
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,Enrollees,40
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,Admits,63
ANDREW P HILL HIGH SCHOOL,ANDREW P HILL HIGH SCHOOL053077,San Jose,Santa Clara,Applicants,102
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,Enrollees,32
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,Admits,46
ANGELO RODRIGUEZ HIGH SCHOOL,ANGELO RODRIGUEZ HIGH SCHOOL050919,Fairfield,Solano,Applicants,79
ANIMO COLLEGE PREP ACADEMY,ANIMO COLLEGE PREP ACADEMY054569,Los Angeles,Los Angeles,Enrollees,4
ANIMO COLLEGE PREP ACADEMY,ANIMO COLLEGE PREP ACADEMY054569,Los Angeles,Los Angeles,Admits,6
ANIMO COLLEGE PREP ACADEMY,ANIMO COLLEGE PREP ACADEMY054569,Los Angeles,Los Angeles,Applicants,22
ANIMO INGLEWOOD CHARTER HS,ANIMO INGLEWOOD CHARTER HS051255,Inglewood,Los Angeles,Enrollees,7
ANIMO INGLEWOOD CHARTER HS,ANIMO INGLEWOOD CHARTER HS051255,Inglewood,Los Angeles,Admits,19
ANIMO INGLEWOOD CHARTER HS,ANIMO INGLEWOOD CHARTER HS051255,Inglewood,Los Angeles,Applicants,33
ANIMO JACKIE ROBINSON CHRT SCH,ANIMO JACKIE ROBINSON CHRT SCH054199,Los Angeles,Los Angeles,Enrollees,13
ANIMO JACKIE ROBINSON CHRT SCH,ANIMO JACKIE ROBINSON CHRT SCH054199,Los Angeles,Los Angeles,Admits,21
ANIMO JACKIE ROBINSON CHRT SCH,ANIMO JACKIE ROBINSON CHRT SCH054199,Los Angeles,Los Angeles,Applicants,49
ANIMO LEADERSHIP CHARTER HS,ANIMO LEADERSHIP CHARTER HS051257,Inglewood,Los Angeles,Enrollees,34
ANIMO LEADERSHIP CHARTER HS,ANIMO LEADERSHIP CHARTER HS051257,Inglewood,Los Angeles,Admits,53
ANIMO LEADERSHIP CHARTER HS,ANIMO LEADERSHIP CHARTER HS051257,Inglewood,Los Angeles,Applicants,80
ANIMO PAT BROWN CHARTER HS,ANIMO PAT BROWN CHARTER HS054238,Los Angeles,Los Angeles,Enrollees,22
ANIMO PAT BROWN CHARTER HS,ANIMO PAT BROWN CHARTER HS054238,Los Angeles,Los Angeles,Admits,33
ANIMO PAT BROWN CHARTER HS,ANIMO PAT BROWN CHARTER HS054238,Los Angeles,Los Angeles,Applicants,53
ANIMO RALPH BUNCHE CHARTER HS,ANIMO RALPH BUNCHE CHARTER HS054259,Los Angeles,Los Angeles,Enrollees,11
ANIMO RALPH BUNCHE CHARTER HS,ANIMO RALPH BUNCHE CHARTER HS054259,Los Angeles,Los Angeles,Admits,21
ANIMO RALPH BUNCHE CHARTER HS,ANIMO RALPH BUNCHE CHARTER HS054259,Los Angeles,Los Angeles,Applicants,42
ANIMO S LOS ANGELES CHARTER HS,ANIMO S LOS ANGELES CHARTER HS053975,Los Angeles,Los Angeles,Enrollees,11
